Epoch: [0] Loss:17.30 Acc:0.10% Norm_l0:276.82 Norm_l1:11.87:   9%|▉         | 9/100 [05:30<55:39, 36.69s/it]
Epoch: [0] Loss:14.38 Acc:0.30% Norm_l0:268.03 Norm_l1:11.85:   9%|▉         | 9/100 [05:19<53:50, 35.50s/it]
Epoch: [0] Loss:11.31 Acc:1.20% Norm_l0:235.41 Norm_l1:11.83:   9%|▉         | 9/100 [05:20<53:57, 35.57s/it]
Epoch: [0] Loss:9.00 Acc:3.60% Norm_l0:173.98 Norm_l1:11.79:   9%|▉         | 9/100 [05:21<54:09, 35.71s/it]
Epoch: [0] Loss:7.77 Acc:4.50% Norm_l0:158.69 Norm_l1:11.80:   9%|▉         | 9/100 [05:21<54:15, 35.77s/it]
Epoch: [0] Loss:6.02 Acc:14.00% Norm_l0:151.67 Norm_l1:11.75:   9%|▉         | 9/100 [05:23<54:33, 35.98s/it]
Epoch: [0] Loss:5.43 Acc:17.00% Norm_l0:150.77 Norm_l1:11.74:   9%|▉         | 9/100 [05:27<55:06, 36.34s/it]
Epoch: [0] Loss:5.04 Acc:18.40% Norm_l0:150.70 Norm_l1:11.74:   9%|▉         | 9/100 [04:32<45:59, 30.32s/it]
Epoch: [0] Loss:5.13 Acc:19.50% Norm_l0:150.62 Norm_l1:11.74:   9%|▉         | 9/100 [03:54<39:28, 26.03s/it]
Epoch: [0] Loss:5.08 Acc:19.40% Norm_l0:150.62 Norm_l1:11.74:   9%|▉         | 9/100 [03:56<39:46, 26.22s/it]
Epoch: [0] Loss:4.93 Acc:19.70% Norm_l0:150.67 Norm_l1:11.74:   9%|▉         | 9/100 [03:46<38:09, 25.16s/it]
Epoch: [0] Loss:4.94 Acc:19.60% Norm_l0:150.65 Norm_l1:11.73:   9%|▉         | 9/100 [03:44<37:51, 24.97s/it]
Epoch: [0] Loss:5.30 Acc:18.60% Norm_l0:150.28 Norm_l1:11.74:   9%|▉         | 9/100 [03:53<39:17, 25.91s/it]
Epoch: [0] Loss:28.86 Acc:0.00% Norm_l0:269.02 Norm_l1:11.97:   9%|▉         | 9/100 [03:36<36:24, 24.00s/it]
